"","Treatment","Subject","Task","Time","Choice","Reward","Trial","Day","Ones","AllTrials"
"10340","T",14.3,"0P005_WTL",2830,1,1,28,5,1,157
"10341","T",14.3,"0P005_WTR",2276,-1,-1,28,6,1,257
"10342","T",14.3,"0P005_WTR",2681,-1,-1,28,7,1,357
"10343","T",14.3,"0P005_WTR",3337,-1,-1,28,8,1,458
"10344","T",14.3,"0P005_WTR",3449,1,1,28,9,1,559
"10345","T",14.3,"0P005_WTR",2973,1,-1,28,10,1,659
"10346","T",14.4,"0P005_WTL",2406,1,1,28,3,1,30
"10347","T",14.4,"0P005_WTL",2643,1,1,28,4,1,130
"10348","T",14.4,"0P005_WTL",2452,1,1,28,5,1,230
"10349","T",14.4,"0P005_WTR",2022,1,1,28,6,1,331
"10350","T",14.4,"0P005_WTR",2255,-1,-1,28,7,1,431
"10351","T",14.4,"0P005_WTR",1848,1,1,28,8,1,532
"10352","T",14.4,"0P005_WTR",2588,1,NA,28,9,1,632
"10353","T",14.4,"0P005_WTR",2427,1,-1,28,10,1,732
"10354","S",15.1,"0P005_WTL",5907,1,1,28,4,1,96
"10355","S",15.1,"0P005_WTL",3560,1,-1,28,5,1,193
"10356","S",15.1,"0P005_WTR",3327,-1,NA,28,6,1,294
"10357","S",15.1,"0P005_WTR",3102,-1,-1,28,7,1,394
"10358","S",15.1,"0P005_WTR",3084,-1,NA,28,8,1,494
"10359","S",15.1,"0P005_WTR",3540,1,1,28,9,1,594
"10360","S",15.1,"0P005_WTR",3465,1,1,28,10,1,694
"10361","S",15.4,"0P005_WTL",2108,1,1,28,4,1,60
"10362","S",15.4,"0P005_WTL",2129,1,1,28,5,1,160
"10363","S",15.4,"0P005_WTR",1885,-1,-1,28,6,1,260
"10364","S",15.4,"0P005_WTR",2310,1,1,28,7,1,361
"10365","S",15.4,"0P005_WTR",2045,1,NA,28,8,1,461
"10366","S",15.4,"0P005_WTR",2105,1,1,28,9,1,561
"10367","S",15.4,"0P005_WTR",2151,1,1,28,10,1,661
"10368","S",16.2,"0P005_WTL",3383,1,1,28,1,1,28
"10369","S",16.2,"0P005_WTL",4431,1,1,28,2,1,128
"10370","S",16.2,"0P005_WTL",3321,1,1,28,3,1,228
"10371","S",16.2,"0P005_WTL",3974,1,1,28,4,1,266
"10372","S",16.2,"0P005_WTL",3069,1,-1,28,5,1,366
"10373","S",16.2,"0P005_WTR",2410,-1,-1,28,6,1,466
"10374","S",16.2,"0P005_WTR",3825,1,-1,28,7,1,566
"10375","S",16.2,"0P005_WTR",3231,1,1,28,8,1,666
"10376","S",16.2,"0P005_WTR",3365,1,1,28,9,1,766
"10377","S",16.2,"0P005_WTR",3131,1,1,28,10,1,866
"10378","S",16.3,"0P005_WTL",4936,-1,-1,28,1,1,28
"10379","T",16.3,"0P005_WTL",3592,1,1,55,2,1,136
"10380","S",16.3,"0P005_WTL",6116,1,1,56,2,1,137
"10381","S",16.3,"0P005_WTL",4076,1,-1,28,3,1,277
"10382","S",16.3,"0P005_WTL",2710,1,1,28,4,1,333
"10383","S",16.3,"0P005_WTL",3041,1,NA,28,5,1,433
"10384","S",16.3,"0P005_WTR",2832,1,1,28,6,1,533
"10385","S",16.3,"0P005_WTR",2908,-1,-1,28,7,1,633
"10386","S",16.3,"0P005_WTR",2870,-1,-1,28,8,1,733
"10387","S",16.3,"0P005_WTR",3300,1,-1,28,9,1,833
"10388","S",16.3,"0P005_WTR",3243,1,1,28,10,1,933
"10389","T",16.4,"0P005_WTL",2767,1,1,28,2,1,28
"10390","S",17.1,"0P005_WTL",4103,1,-1,28,2,1,49
"10391","S",17.1,"0P005_WTL",6330,1,1,28,4,1,87
"10392","S",17.1,"0P005_WTL",3856,1,1,28,5,1,183
"10393","S",17.1,"0P005_WTR",3070,-1,1,28,6,1,283
"10394","S",17.1,"0P005_WTR",2717,-1,1,28,7,1,383
"10395","S",17.1,"0P005_WTR",2211,-1,-1,28,8,1,483
"10396","S",17.1,"0P005_WTR",3434,1,1,28,9,1,583
"10397","S",17.1,"0P005_WTR",10278,1,1,28,10,1,672
"10398","S",17.2,"0P005_WTL",7583,1,1,28,1,1,28
"10399","S",17.2,"0P005_WTL",6072,-1,1,28,2,1,77
"10400","S",17.2,"0P005_WTL",2247,1,-1,28,3,1,141
"10401","S",17.2,"0P005_WTL",4151,1,1,28,4,1,212
"10402","S",17.2,"0P005_WTL",6046,1,1,28,5,1,297
"10403","S",17.2,"0P005_WTR",4091,-1,1,28,6,1,397
"10404","S",17.2,"0P005_WTR",3807,-1,1,28,7,1,497
"10405","S",17.2,"0P005_WTR",4971,1,1,28,8,1,597
"10406","S",17.2,"0P005_WTR",3426,1,1,28,9,1,692
"10407","S",17.2,"0P005_WTR",5962,1,1,28,10,1,792
"10408","T",18.3,"0P005_WTL",4765,1,1,28,2,1,55
"10409","T",18.3,"0P005_WTL",3757,1,1,28,3,1,155
"10410","T",18.3,"0P005_WTL",4415,1,1,28,4,1,204
"10411","T",18.3,"0P005_WTL",3726,1,1,28,5,1,304
"10412","T",18.3,"0P005_WTR",2548,1,1,28,6,1,404
"10413","T",18.3,"0P005_WTR",2437,1,-1,28,7,1,504
"10414","T",18.3,"0P005_WTR",2615,-1,1,28,8,1,604
"10415","T",18.3,"0P005_WTR",2621,1,1,28,9,1,704
"10416","T",18.3,"0P005_WTR",2685,1,NA,28,10,1,804
"10417","T",18.4,"0P005_WTL",3274,1,1,28,4,1,68
"10418","T",18.4,"0P005_WTL",2726,1,-1,28,5,1,168
"10419","T",18.4,"0P005_WTR",2398,-1,1,28,6,1,268
"10420","T",18.4,"0P005_WTR",1951,1,1,28,7,1,368
"10421","T",18.4,"0P005_WTR",2766,1,1,28,8,1,468
"10422","T",18.4,"0P005_WTR",2172,1,1,28,9,1,569
"10423","T",18.4,"0P005_WTR",2398,1,1,28,10,1,669
"10424","T",19.1,"0P005_WTL",2762,-1,-1,28,1,1,28
"10425","T",19.1,"0P005_WTL",3823,1,1,28,2,1,104
"10426","T",19.1,"0P005_WTL",4457,1,-1,28,4,1,211
"10427","T",19.1,"0P005_WTL",2879,1,1,28,5,1,311
"10428","T",19.1,"0P005_WTR",2691,-1,-1,28,6,1,411
"10429","T",19.1,"0P005_WTR",2774,-1,-1,28,7,1,511
"10430","T",19.1,"0P005_WTR",3591,1,1,28,8,1,611
"10431","T",19.1,"0P005_WTR",3373,1,1,28,9,1,711
"10432","T",19.1,"0P005_WTR",3315,1,1,28,10,1,811
"10433","T",19.3,"0P005_WTL",2750,1,1,28,1,1,28
"10434","T",19.3,"0P005_WTL",4010,1,1,28,4,1,69
"10435","T",19.3,"0P005_WTL",3899,1,1,28,5,1,169
"10436","T",19.3,"0P005_WTR",2419,-1,-1,28,6,1,269
"10437","T",19.3,"0P005_WTR",2535,1,1,28,7,1,370
"10438","T",19.3,"0P005_WTR",3148,1,-1,28,8,1,470
"10439","T",19.3,"0P005_WTR",3035,1,1,28,9,1,570
"10440","T",19.3,"0P005_WTR",2801,1,1,28,10,1,670
